14541A0347,RT21031,METALLURGY & MATERIALS SCIENCE,16,3,0
14541A0347,RT21033,THERMODYNAMICS,18,33,3
14541A0348,RT21033,THERMODYNAMICS,20,35,3
14541A0361,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,14,6,0
14541A0361,RT21031,METALLURGY & MATERIALS SCIENCE,13,9,0
14541A0361,RT21032,MECHANICS OF SOLIDS,9,0,0
14541A0361,RT21033,THERMODYNAMICS,12,10,0
14541A0363,RT21031,METALLURGY & MATERIALS SCIENCE,12,23,0
14541A0363,RT21032,MECHANICS OF SOLIDS,19,9,0
14541A0364,RT21032,MECHANICS OF SOLIDS,18,9,0
14541A0366,RT21032,MECHANICS OF SOLIDS,19,13,0
14541A0368,RT21032,MECHANICS OF SOLIDS,23,18,0
14541A0370,RT21031,METALLURGY & MATERIALS SCIENCE,13,12,0
14541A0378,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,16,27,3
14541A0378,RT21033,THERMODYNAMICS,20,31,3
14541A0378,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,17,25,3
14541A0379,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,14,29,3
14541A0379,RT21032,MECHANICS OF SOLIDS,10,3,0
14541A0383,RT21031,METALLURGY & MATERIALS SCIENCE,14,2,0
14541A0383,RT21033,THERMODYNAMICS,17,28,3
14541A0386,RT21032,MECHANICS OF SOLIDS,15,8,0
14541A0387,RT21033,THERMODYNAMICS,22,34,3
14541A0391,RT21033,THERMODYNAMICS,20,8,0
14541A0392,RT21032,MECHANICS OF SOLIDS,16,11,0
14541A0394,RT21032,MECHANICS OF SOLIDS,16,9,0
14541A0405,RT21041,ELECTRONIC DEVICES AND CIRCUITS,10,7,0
14541A0405,RT21042,DATA STRUCTURES,16,-1,0
14541A0405,RT21044,SIGNALS AND SYSTEMS,10,2,0
14541A0405,RT21045,ELECTRICAL TECHNOLOGY,10,16,0
14541A0415,RT21045,ELECTRICAL TECHNOLOGY,18,9,0
14541A0417,RT21043,ENVIRONMENTAL STUDIES,14,12,0
14541A0434,RT21041,ELECTRONIC DEVICES AND CIRCUITS,20,5,0
14541A0434,RT21043,ENVIRONMENTAL STUDIES,19,26,3
14541A0434,RT21044,SIGNALS AND SYSTEMS,17,17,0
14541A0435,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,17,9,0
14541A0435,RT21042,DATA STRUCTURES,16,12,0
14541A0435,RT21044,SIGNALS AND SYSTEMS,18,9,0
14541A0435,RT21045,ELECTRICAL TECHNOLOGY,17,6,0
14541A0437,RT21043,ENVIRONMENTAL STUDIES,15,16,0
14541A0437,RT21044,SIGNALS AND SYSTEMS,19,1,0
14541A0472,RT21043,ENVIRONMENTAL STUDIES,18,-1,0
14541A0472,RT21044,SIGNALS AND SYSTEMS,20,6,0
,,,,,
14541A0482,RT21044,SIGNALS AND SYSTEMS,17,26,3
14541A0506,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,14,3,0
14541A0518,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,20,8,0
14541A0524,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,23,25,3
14541A0524,RT21053,DIGITAL LOGIC DESIGN,22,11,0
14541A0544,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,16,36,3
14541A0549,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,18,32,3
14541A0549,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCI,18,31,3
14541A0549,RT21053,DIGITAL LOGIC DESIGN,19,14,0
14545A0201,RT21023,BASIC ELECTRONICS AND DEVICES,8,46,3
14545A0201,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,9,39,3
14545A0201,RT21025,ELECTRO MAGNETIC FIELDS,11,29,3
14545A0201,RT21026,ELECTRICAL MACHINES-I,7,45,3
14545A0202,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,17,-1,0
14545A0202,RT21022,THERMAL AND HYDRO LRIME MOVERS,19,-1,0
14545A0202,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,16,-1,0
14545A0202,RT21025,ELECTRO MAGNETIC FIELDS,21,-1,0
14545A0202,RT21026,ELECTRICAL MACHINES-I,24,-1,0
14545A0209,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,11,2,0
14545A0210,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,14,0,0
14545A0210,RT21025,ELECTRO MAGNETIC FIELDS,15,13,0
14545A0210,RT21026,ELECTRICAL MACHINES-I,9,24,0
14545A0211,RT21022,THERMAL AND HYDRO LRIME MOVERS,18,-1,0
14545A0211,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,15,-1,0
14545A0211,RT21025,ELECTRO MAGNETIC FIELDS,22,-1,0
14545A0215,RT21023,BASIC ELECTRONICS AND DEVICES,5,8,0
14545A0215,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,11,5,0
14545A0215,RT21025,ELECTRO MAGNETIC FIELDS,15,0,0
14545A0304,RT21033,THERMODYNAMICS,13,30,3
14545A0307,RT21032,MECHANICS OF SOLIDS,18,6,0
14545A0309,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,25,52,3
14545A0309,RT21032,MECHANICS OF SOLIDS,21,0,0
14545A0309,RT21033,THERMODYNAMICS,18,53,3
14545A0401,RT21045,ELECTRICAL TECHNOLOGY,16,17,0
14545A0406,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,9,19,0
14545A0406,RT21043,ENVIRONMENTAL STUDIES,19,14,0
14545A0407,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,10,20,0
14545A0407,RT21044,SIGNALS AND SYSTEMS,17,0,0
14545A0407,RT21045,ELECTRICAL TECHNOLOGY,18,2,0
14545A0409,RT21045,ELECTRICAL TECHNOLOGY,20,4,0
14545A0410,RT21041,ELECTRONIC DEVICES AND CIRCUITS,8,18,0
14545A0410,RT21044,SIGNALS AND SYSTEMS,17,0,0
14545A0410,RT21045,ELECTRICAL TECHNOLOGY,18,33,3
14545A0412,RT21042,DATA STRUCTURES,15,29,3
14545A0415,RT21044,SIGNALS AND SYSTEMS,18,16,0
14545A0415,RT21045,ELECTRICAL TECHNOLOGY,17,18,0
14545A0416,RT21041,ELECTRONIC DEVICES AND CIRCUITS,17,8,0
14545A0416,RT21042,DATA STRUCTURES,18,17,0
14545A0416,RT21044,SIGNALS AND SYSTEMS,20,11,0
14545A0416,RT21045,ELECTRICAL TECHNOLOGY,17,2,0
14545A0417,RT21045,ELECTRICAL TECHNOLOGY,16,30,3
,,,,,
14PA1A0262,RT21021,ELECTRICAL CIRCUIT ANALYSIS-II,12,1,0
14PA1A0262,RT21022,THERMAL AND HYDRO LRIME MOVERS,9,10,0
14PA1A0262,RT21023,BASIC ELECTRONICS AND DEVICES,9,6,0
14PA1A0262,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,16,0,0
