14541A0383,RT32035,HEAT TRANSFER,14,38,3
14541A0383,RT32037A,REFRIGERATION & AIR CONDITIONING,15,31,3
14541A0384,RT32035,HEAT TRANSFER,25,33,3
14541A0385,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,15,0
14541A0386,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,19,16,0
14541A0386,RT32037A,REFRIGERATION & AIR CONDITIONING,18,14,0
14541A0387,RT32037A,REFRIGERATION & AIR CONDITIONING,17,16,0
14541A0388,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,13,0
14541A0388,RT32034,ROBOTICS,23,0,0
14541A0388,RT32035,HEAT TRANSFER,27,29,3
14541A0389,RT32031,OPERATIONS RESEARCH,27,14,0
14541A0391,RT32037A,REFRIGERATION & AIR CONDITIONING,18,23,0
14541A0401,RT32042,DIGITAL SIGNAL PROCESSING,20,29,3
14541A0403,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,24,17,0
14541A0403,RT32044,MICROWAVE ENGINEERING,22,32,3
14541A0404,RT32045A,BIO MEDICAL ENGINEERING,19,25,3
14541A0409,RT32044,MICROWAVE ENGINEERING,27,32,3
14541A0410,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,0,0
14541A0410,RT32045A,BIO MEDICAL ENGINEERING,16,15,0
14541A0412,RT32042,DIGITAL SIGNAL PROCESSING,23,30,3
14541A0414,RT32042,DIGITAL SIGNAL PROCESSING,25,33,3
14541A0417,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,19,10,0
14541A0417,RT32042,DIGITAL SIGNAL PROCESSING,25,34,3
14541A0417,RT32044,MICROWAVE ENGINEERING,21,19,0
14541A0418,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,22,29,3
14541A0427,RT32043,DIGITAL COMMUNICATIONS,29,29,3
14541A0428,RT32042,DIGITAL SIGNAL PROCESSING,24,43,3
14541A0429,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,25,13,0
14541A0429,RT32043,DIGITAL COMMUNICATIONS,23,11,0
14541A0429,RT32045A,BIO MEDICAL ENGINEERING,16,17,0
14541A0433,RT32044,MICROWAVE ENGINEERING,22,30,3
14541A0434,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,27,11,0
14541A0435,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,21,9,0
14541A0435,RT32042,DIGITAL SIGNAL PROCESSING,17,25,3
14541A0435,RT32044,MICROWAVE ENGINEERING,19,12,0
14541A0435,RT32045A,BIO MEDICAL ENGINEERING,17,24,3
14541A0436,RT32042,DIGITAL SIGNAL PROCESSING,25,20,0
14541A0437,RT32045A,BIO MEDICAL ENGINEERING,18,25,3
14541A0438,RT32044,MICROWAVE ENGINEERING,24,28,3
14541A0439,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,20,9,0
14541A0439,RT32042,DIGITAL SIGNAL PROCESSING,16,29,3
14541A0439,RT32043,DIGITAL COMMUNICATIONS,21,14,0
14541A0439,RT32044,MICROWAVE ENGINEERING,22,15,0
14541A0439,RT32045A,BIO MEDICAL ENGINEERING,16,11,0
14541A0440,RT32042,DIGITAL SIGNAL PROCESSING,22,29,3
14541A0440,RT32043,DIGITAL COMMUNICATIONS,26,12,0
14541A0448,RT32042,DIGITAL SIGNAL PROCESSING,27,37,3
14541A0452,RT32042,DIGITAL SIGNAL PROCESSING,24,33,3
14541A0454,RT32042,DIGITAL SIGNAL PROCESSING,27,29,3
14541A0456,RT32043,DIGITAL COMMUNICATIONS,25,13,0
14541A0458,RT32042,DIGITAL SIGNAL PROCESSING,25,42,3
