15541A0419,R13210,ENGG. MECHANICS,25,29,3
15541A0419,R13211,NETWORK ANALYSIS,21,17,0
15541A0423,R13210,ENGG. MECHANICS,25,33,3
15541A0427,R13204,ENGG. CHEMISTRY,18,-1,0
15541A0427,R13211,NETWORK ANALYSIS,22,0,0
15541A0434,R13201,ENGLISH-II,18,22,0
15541A0434,R13204,ENGG. CHEMISTRY,19,11,0
15541A0450,R13211,NETWORK ANALYSIS,21,29,3
15541A0451,R13211,NETWORK ANALYSIS,26,17,0
15541A0455,R13205,C PROGRAMMING,27,30,3
15541A0459,R13201,ENGLISH-II,25,31,3
15541A0459,R13204,ENGG. CHEMISTRY,22,17,0
15541A0459,R13210,ENGG. MECHANICS,29,8,0
15541A0459,R13211,NETWORK ANALYSIS,22,29,3
15541A0465,R13210,ENGG. MECHANICS,29,12,0
15541A0468,R13210,ENGG. MECHANICS,25,17,0
15541A0468,R13211,NETWORK ANALYSIS,17,15,0
15541A0469,R13205,C PROGRAMMING,27,17,0
15541A0469,R13210,ENGG. MECHANICS,25,0,0
15541A0469,R13211,NETWORK ANALYSIS,22,0,0
15541A0474,R13211,NETWORK ANALYSIS,20,29,3
15541A0476,R13202,MATHEMATICS-III,16,11,0
15541A0476,R13205,C PROGRAMMING,23,18,0
15541A0476,R13211,NETWORK ANALYSIS,20,14,0
15541A0486,R13202,MATHEMATICS-III,17,9,0
15541A0486,R13205,C PROGRAMMING,19,29,3
15541A0486,R13210,ENGG. MECHANICS,22,12,0
15541A0486,R13211,NETWORK ANALYSIS,16,14,0
15541A0491,R13205,C PROGRAMMING,16,15,0
15541A0491,R13211,NETWORK ANALYSIS,16,9,0
15541A0507,R13202,MATHEMATICS-III,17,7,0
15541A0510,R13202,MATHEMATICS-III,13,-1,0
15541A0510,R13207,MATHEMATICS-II (MM),15,-1,0
15541A0512,R13203,ENGG. PHYSICS,13,-1,0
15541A0521,R13207,MATHEMATICS-II (MM),20,15,0
15541A0523,R13203,ENGG. PHYSICS,16,8,0
15541A0525,R13203,ENGG. PHYSICS,19,-1,0
15541A0556,R13203,ENGG. PHYSICS,13,7,0
15541A0558,R13203,ENGG. PHYSICS,14,0,0
15541A0558,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,41,3
15541A0559,R13202,MATHEMATICS-III,16,0,0
15541A0559,R13207,MATHEMATICS-II (MM),15,7,0
15541A0559,R13209,ENGG. DRAWING,20,7,0
15541A0560,R13203,ENGG. PHYSICS,12,6,0
15541A0562,R13203,ENGG. PHYSICS,12,8,0
15541A0564,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,16,35,3
15541A0564,R13209,ENGG. DRAWING,28,16,0
15541A0567,R13207,MATHEMATICS-II (MM),14,31,3
15541A0569,R13202,MATHEMATICS-III,16,-1,0
15541A0569,R13203,ENGG. PHYSICS,13,-1,0
15541A0571,R13203,ENGG. PHYSICS,13,6,0
15541A0572,R13202,MATHEMATICS-III,16,0,0
15541A0572,R13209,ENGG. DRAWING,20,20,0
15541A0573,R13202,MATHEMATICS-III,16,0,0
15541A0573,R13203,ENGG. PHYSICS,12,6,0
15541A0573,R13209,ENGG. DRAWING,20,0,0
15541A0574,R13202,MATHEMATICS-III,16,0,0
15541A0574,R13203,ENGG. PHYSICS,17,-1,0
15541A0579,R13203,ENGG. PHYSICS,14,6,0
15541A0582,R13202,MATHEMATICS-III,17,16,0
15541A0582,R13209,ENGG. DRAWING,21,0,0
