15541A0455,R13205,C PROGRAMMING,27,15,0
15541A0457,R13204,ENGG. CHEMISTRY,19,32,3
15541A0457,R13205,C PROGRAMMING,21,9,0
15541A0457,R13210,ENGG. MECHANICS,23,9,0
15541A0457,R13211,NETWORK ANALYSIS,18,9,0
15541A0460,R13204,ENGG. CHEMISTRY,20,31,3
15541A0464,R13204,ENGG. CHEMISTRY,24,38,3
15541A0465,R13210,ENGG. MECHANICS,29,11,0
15541A0465,R13211,NETWORK ANALYSIS,24,21,0
15541A0466,R13204,ENGG. CHEMISTRY,23,-1,0
15541A0469,R13205,C PROGRAMMING,27,-1,0
15541A0469,R13210,ENGG. MECHANICS,25,-1,0
15541A0474,R13211,NETWORK ANALYSIS,20,18,0
15541A0476,R13202,MATHEMATICS-III,16,19,0
15541A0476,R13205,C PROGRAMMING,23,6,0
15541A0476,R13211,NETWORK ANALYSIS,20,6,0
15541A0478,R13204,ENGG. CHEMISTRY,18,34,3
15541A0478,R13205,C PROGRAMMING,19,6,0
15541A0478,R13210,ENGG. MECHANICS,19,11,0
15541A0480,R13202,MATHEMATICS-III,17,17,0
15541A0480,R13204,ENGG. CHEMISTRY,18,44,3
15541A0480,R13205,C PROGRAMMING,16,6,0
15541A0483,R13205,C PROGRAMMING,26,6,0
15541A0483,R13210,ENGG. MECHANICS,21,0,0
15541A0486,R13202,MATHEMATICS-III,17,10,0
15541A0486,R13204,ENGG. CHEMISTRY,19,46,3
15541A0486,R13205,C PROGRAMMING,19,0,0
15541A0491,R13204,ENGG. CHEMISTRY,16,33,3
15541A0491,R13205,C PROGRAMMING,16,0,0
15541A0505,R13201,ENGLISH-II,27,44,3
15541A0507,R13202,MATHEMATICS-III,17,23,0
15541A0510,R13201,ENGLISH-II,22,39,3
15541A0510,R13202,MATHEMATICS-III,13,13,0
15541A0510,R13203,ENGG. PHYSICS,13,0,0
15541A0510,R13207,MATHEMATICS-II (MM),15,12,0
15541A0510,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,31,3
15541A0510,R13209,ENGG. DRAWING,28,0,0
15541A0510,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,15,36,2
15541A0510,R13214,ENGINEERING PHYSICS LAB,20,35,2
15541A0510,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,15,42,2
15541A0517,R13203,ENGG. PHYSICS,17,8,0
15541A0519,R13202,MATHEMATICS-III,25,30,3
15541A0523,R13203,ENGG. PHYSICS,16,15,0
15541A0549,R13202,MATHEMATICS-III,17,29,3
15541A0559,R13201,ENGLISH-II,21,41,3
15541A0559,R13207,MATHEMATICS-II (MM),15,8,0
15541A0560,R13203,ENGG. PHYSICS,12,9,0
15541A0562,R13203,ENGG. PHYSICS,12,21,0
15541A0564,R13207,MATHEMATICS-II (MM),14,30,3
15541A0564,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,16,7,0
15541A0564,R13209,ENGG. DRAWING,28,0,0
15541A0567,R13207,MATHEMATICS-II (MM),14,18,0
15541A0570,R13202,MATHEMATICS-III,16,9,0
15541A0570,R13203,ENGG. PHYSICS,15,0,0
15541A0572,R13202,MATHEMATICS-III,16,10,0
15541A0572,R13207,MATHEMATICS-II (MM),16,28,3
15541A0572,R13209,ENGG. DRAWING,20,9,0
15541A0573,R13202,MATHEMATICS-III,16,11,0
15541A0573,R13203,ENGG. PHYSICS,12,0,0
15541A0573,R13209,ENGG. DRAWING,20,0,0
15541A0574,R13202,MATHEMATICS-III,16,0,0
15541A0574,R13203,ENGG. PHYSICS,17,0,0
15541A0579,R13203,ENGG. PHYSICS,14,12,0
15541A0582,R13202,MATHEMATICS-III,17,7,0
15541A0582,R13207,MATHEMATICS-II (MM),16,28,3
