12541A0312,R42034,AUTOMATION IN MANUFACTURING,18,38,4
12541A0312,R42039,POWER PLANT ENGINEERING,24,37,4
12541A0312,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,21,27,4
12541A0312,R4203E,PROJECT WORK,48,123,12
12541A0313,R42031,INTERACTIVE COMPUTER GRAPHICS,21,34,4
12541A0313,R42034,AUTOMATION IN MANUFACTURING,22,54,4
12541A0313,R42039,POWER PLANT ENGINEERING,24,34,4
12541A0313,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,21,59,4
12541A0313,R4203E,PROJECT WORK,47,116,12
12541A0314,R42031,INTERACTIVE COMPUTER GRAPHICS,24,34,4
12541A0314,R42034,AUTOMATION IN MANUFACTURING,23,36,4
12541A0314,R42039,POWER PLANT ENGINEERING,25,49,4
12541A0314,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,23,28,4
12541A0314,R4203E,PROJECT WORK,48,129,12
12541A0315,R42031,INTERACTIVE COMPUTER GRAPHICS,24,38,4
12541A0315,R42034,AUTOMATION IN MANUFACTURING,21,26,4
12541A0315,R42039,POWER PLANT ENGINEERING,24,32,4
12541A0315,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,20,10,0
12541A0315,R4203E,PROJECT WORK,46,125,12
12541A0316,R42031,INTERACTIVE COMPUTER GRAPHICS,20,55,4
12541A0316,R42034,AUTOMATION IN MANUFACTURING,20,50,4
12541A0316,R42039,POWER PLANT ENGINEERING,25,47,4
12541A0316,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,19,29,4
12541A0316,R4203E,PROJECT WORK,47,124,12
12541A0317,R42031,INTERACTIVE COMPUTER GRAPHICS,23,28,4
12541A0317,R42034,AUTOMATION IN MANUFACTURING,20,39,4
12541A0317,R42039,POWER PLANT ENGINEERING,24,26,4
12541A0317,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,19,41,4
12541A0317,R4203E,PROJECT WORK,45,118,12
12541A0318,R42031,INTERACTIVE COMPUTER GRAPHICS,20,18,0
12541A0318,R42034,AUTOMATION IN MANUFACTURING,21,29,4
12541A0318,R42039,POWER PLANT ENGINEERING,23,45,4
