16541A0218,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,S,2
16541A0220,R1631021,POWER SYSTEMS-II,F,0
16541A0220,R1631022,RENEWABLE ENERGY SOURCES,F,0
16541A0220,R1631023,SIGNALS AND SYSTEMS,F,0
16541A0220,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16541A0220,R1631025,POWER ELECTRONICS,D,3
16541A0220,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0220,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0220,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0221,R1631021,POWER SYSTEMS-II,F,0
16541A0221,R1631022,RENEWABLE ENERGY SOURCES,D,3
16541A0221,R1631023,SIGNALS AND SYSTEMS,C,3
16541A0221,R1631024,PULSE & DIGITAL CIRCUITS,D,3
16541A0221,R1631025,POWER ELECTRONICS,B,3
16541A0221,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0221,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0221,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,S,2
16541A0223,R1631021,POWER SYSTEMS-II,D,3
16541A0223,R1631022,RENEWABLE ENERGY SOURCES,C,3
16541A0223,R1631023,SIGNALS AND SYSTEMS,F,0
16541A0223,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16541A0223,R1631025,POWER ELECTRONICS,F,0
16541A0223,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0223,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0223,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0224,R1631021,POWER SYSTEMS-II,D,3
16541A0224,R1631022,RENEWABLE ENERGY SOURCES,D,3
16541A0224,R1631023,SIGNALS AND SYSTEMS,F,0
16541A0224,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16541A0224,R1631025,POWER ELECTRONICS,D,3
16541A0224,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0224,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0224,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0225,R1631021,POWER SYSTEMS-II,F,0
16541A0225,R1631022,RENEWABLE ENERGY SOURCES,C,3
16541A0225,R1631023,SIGNALS AND SYSTEMS,C,3
16541A0225,R1631024,PULSE & DIGITAL CIRCUITS,C,3
16541A0225,R1631025,POWER ELECTRONICS,C,3
