14541A0378,RT22031,KINEMATICS OF MACHINERY,11,1,0
14541A0378,RT22032,THERMAL ENGINEERING -I,18,2,0
14541A0378,RT22033,PRODUCTION TECHNOLOGY,18,24,3
14541A0378,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,26,3
14541A0378,RT22035,MACHINE DRAWING,21,24,3
14541A0379,RT22031,KINEMATICS OF MACHINERY,13,1,0
14541A0379,RT22032,THERMAL ENGINEERING -I,20,2,0
14541A0379,RT22033,PRODUCTION TECHNOLOGY,20,2,0
14541A0379,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,16,0
14541A0379,RT22035,MACHINE DRAWING,28,10,0
14541A0382,RT22031,KINEMATICS OF MACHINERY,16,2,0
14541A0383,RT22031,KINEMATICS OF MACHINERY,10,2,0
14541A0383,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,12,19,0
14541A0384,RT22031,KINEMATICS OF MACHINERY,20,8,0
14541A0385,RT22033,PRODUCTION TECHNOLOGY,19,24,3
14541A0385,RT22035,MACHINE DRAWING,26,33,3
14541A0386,RT22031,KINEMATICS OF MACHINERY,18,7,0
14541A0386,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,20,14,0
14541A0386,RT22035,MACHINE DRAWING,18,12,0
14541A0387,RT22035,MACHINE DRAWING,30,10,0
14541A0388,RT22031,KINEMATICS OF MACHINERY,15,2,0
14541A0388,RT22033,PRODUCTION TECHNOLOGY,22,16,0
14541A0388,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,10,0
14541A0389,RT22033,PRODUCTION TECHNOLOGY,23,13,0
14541A0389,RT22035,MACHINE DRAWING,27,24,3
14541A0391,RT22031,KINEMATICS OF MACHINERY,16,4,0
14541A0394,RT22033,PRODUCTION TECHNOLOGY,22,13,0
14541A0394,RT22035,MACHINE DRAWING,25,14,0
14541A0403,RT22022,SWITCHING THEORY AND LOGIC DESIGN,15,25,3
14541A0403,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,5,0
14541A0403,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,21,13,0
14541A0403,RT22045,ANALOG COMMUNICATIONS,16,27,3
14541A0404,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,19,0
14541A0404,RT22041,ELECTRONIC CIRCUIT ANALYSIS,15,4,0
14541A0405,RT22022,SWITCHING THEORY AND LOGIC DESIGN,15,15,0
14541A0405,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,20,16,0
14541A0405,RT22043,MANAGEMENT SCIENCE,17,17,0
,,,,,
14541A0409,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,29,3
14541A0409,RT22041,ELECTRONIC CIRCUIT ANALYSIS,24,6,0
14541A0409,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,26,36,3
14541A0409,RT22045,ANALOG COMMUNICATIONS,28,28,3
14541A0410,RT22022,SWITCHING THEORY AND LOGIC DESIGN,21,28,3
14541A0410,RT22041,ELECTRONIC CIRCUIT ANALYSIS,22,2,0
14541A0416,RT22022,SWITCHING THEORY AND LOGIC DESIGN,21,28,3
14541A0416,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,5,0
14541A0416,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,26,29,3
14541A0416,RT22044,EM WAVES AND TRANSMISSION LINES,30,5,0
14541A0417,RT22022,SWITCHING THEORY AND LOGIC DESIGN,22,40,3
14541A0417,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,8,0
14541A0417,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,29,0,0
14541A0417,RT22045,ANALOG COMMUNICATIONS,21,28,3
14541A0418,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,28,3
14541A0420,RT22044,EM WAVES AND TRANSMISSION LINES,21,10,0
14541A0421,RT22041,ELECTRONIC CIRCUIT ANALYSIS,24,5,0
14541A0421,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,23,28,3
14541A0421,RT22045,ANALOG COMMUNICATIONS,21,30,3
14541A0425,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,32,3
14541A0425,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,4,0
14541A0427,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,30,38,3
14541A0429,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,8,0
14541A0429,RT22044,EM WAVES AND TRANSMISSION LINES,20,-1,0
14541A0432,RT22044,EM WAVES AND TRANSMISSION LINES,30,39,3
14541A0433,RT22022,SWITCHING THEORY AND LOGIC DESIGN,19,11,0
14541A0433,RT22041,ELECTRONIC CIRCUIT ANALYSIS,15,2,0
14541A0433,RT22045,ANALOG COMMUNICATIONS,17,17,0
14541A0435,RT22041,ELECTRONIC CIRCUIT ANALYSIS,14,6,0
14541A0435,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,18,5,0
14541A0435,RT22043,MANAGEMENT SCIENCE,18,10,0
14541A0435,RT22044,EM WAVES AND TRANSMISSION LINES,21,7,0
14541A0437,RT22022,SWITCHING THEORY AND LOGIC DESIGN,17,36,3
14541A0437,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,28,3
14541A0437,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,23,35,3
14541A0437,RT22043,MANAGEMENT SCIENCE,18,12,0
14541A0437,RT22044,EM WAVES AND TRANSMISSION LINES,21,5,0
14541A0437,RT22045,ANALOG COMMUNICATIONS,20,24,3
14541A0438,RT22041,ELECTRONIC CIRCUIT ANALYSIS,20,3,0
14541A0438,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,25,27,3
14541A0438,RT22045,ANALOG COMMUNICATIONS,18,24,3
14541A0439,RT22022,SWITCHING THEORY AND LOGIC DESIGN,22,17,0
14541A0439,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,6,0
14541A0439,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,23,4,0
14541A0439,RT22043,MANAGEMENT SCIENCE,21,10,0
14541A0440,RT22041,ELECTRONIC CIRCUIT ANALYSIS,19,1,0
14541A0440,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,13,10,0
14541A0440,RT22045,ANALOG COMMUNICATIONS,25,12,0
14541A0442,RT22022,SWITCHING THEORY AND LOGIC DESIGN,14,15,0
