15541A0226,RT41025,INSTRUMENTATION,23,29,3
15541A0226,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,27,37,3
15541A0226,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,49,2
15541A0226,RT4102M,ELECTRICAL SIMULATION LAB,23,47,2
15541A0226,RT4102N,POWER SYSTEMS LAB,24,49,2
15541A0227,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,29,45,3
15541A0227,RT41022,HVAC AND DC TRANSMISSION,28,69,3
15541A0227,RT41023,POWER SYSTEM OPERATION AND CONTROL,30,56,3
15541A0227,RT41025,INSTRUMENTATION,27,38,3
15541A0227,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,27,44,3
15541A0227,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,25,50,2
15541A0227,RT4102M,ELECTRICAL SIMULATION LAB,25,47,2
15541A0227,RT4102N,POWER SYSTEMS LAB,25,50,2
15541A0228,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,28,56,3
15541A0228,RT41022,HVAC AND DC TRANSMISSION,27,61,3
15541A0228,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,34,3
15541A0228,RT41025,INSTRUMENTATION,25,38,3
15541A0228,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,28,38,3
15541A0228,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,25,50,2
15541A0228,RT4102M,ELECTRICAL SIMULATION LAB,24,49,2
15541A0228,RT4102N,POWER SYSTEMS LAB,24,49,2
15541A0229,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,27,37,3
15541A0229,RT41022,HVAC AND DC TRANSMISSION,25,37,3
15541A0229,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,28,3
15541A0229,RT41025,INSTRUMENTATION,22,26,3
15541A0229,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,23,47,3
15541A0229,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,22,47,2
15541A0229,RT4102M,ELECTRICAL SIMULATION LAB,22,45,2
15541A0229,RT4102N,POWER SYSTEMS LAB,23,46,2
15541A0230,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,25,42,3
15541A0230,RT41022,HVAC AND DC TRANSMISSION,26,28,3
15541A0230,RT41023,POWER SYSTEM OPERATION AND CONTROL,27,13,0
15541A0230,RT41025,INSTRUMENTATION,22,29,3
15541A0230,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,25,42,3
15541A0230,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,48,2
15541A0230,RT4102M,ELECTRICAL SIMULATION LAB,23,49,2
15541A0230,RT4102N,POWER SYSTEMS LAB,24,46,2
15541A0231,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,27,3
15541A0231,RT41022,HVAC AND DC TRANSMISSION,26,50,3
15541A0231,RT41023,POWER SYSTEM OPERATION AND CONTROL,25,28,3
15541A0231,RT41025,INSTRUMENTATION,19,37,3
15541A0231,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,22,35,3
15541A0231,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,48,2
15541A0231,RT4102M,ELECTRICAL SIMULATION LAB,23,46,2
15541A0231,RT4102N,POWER SYSTEMS LAB,24,47,2
15541A0232,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,33,3
15541A0232,RT41022,HVAC AND DC TRANSMISSION,25,63,3
15541A0232,RT41023,POWER SYSTEM OPERATION AND CONTROL,25,28,3
15541A0232,RT41025,INSTRUMENTATION,19,34,3
15541A0232,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,28,42,3
15541A0232,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,25,50,2
15541A0232,RT4102M,ELECTRICAL SIMULATION LAB,24,48,2
15541A0232,RT4102N,POWER SYSTEMS LAB,24,48,2
15541A0234,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,25,35,3
15541A0234,RT41022,HVAC AND DC TRANSMISSION,23,30,3
15541A0234,RT41023,POWER SYSTEM OPERATION AND CONTROL,22,5,0
15541A0234,RT41025,INSTRUMENTATION,16,5,0
15541A0234,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,22,43,3
15541A0234,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,21,48,2
15541A0234,RT4102M,ELECTRICAL SIMULATION LAB,22,45,2
15541A0234,RT4102N,POWER SYSTEMS LAB,22,40,2
15541A0235,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,22,31,3
15541A0235,RT41022,HVAC AND DC TRANSMISSION,26,26,3
15541A0235,RT41023,POWER SYSTEM OPERATION AND CONTROL,26,15,0
15541A0235,RT41025,INSTRUMENTATION,16,-1,0
15541A0235,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,23,25,3
15541A0235,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,15,47,2
15541A0235,RT4102M,ELECTRICAL SIMULATION LAB,22,45,2
15541A0235,RT4102N,POWER SYSTEMS LAB,12,-1,0
15541A0236,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,37,3
15541A0236,RT41022,HVAC AND DC TRANSMISSION,28,46,3
15541A0236,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,42,3
15541A0236,RT41025,INSTRUMENTATION,21,33,3
15541A0236,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,50,3
15541A0236,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,46,2
15541A0236,RT4102M,ELECTRICAL SIMULATION LAB,22,45,2
15541A0236,RT4102N,POWER SYSTEMS LAB,23,44,2
15541A0237,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,39,3
15541A0237,RT41022,HVAC AND DC TRANSMISSION,27,47,3
15541A0237,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,14,0
15541A0237,RT41025,INSTRUMENTATION,19,29,3
15541A0237,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,26,29,3
15541A0237,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,47,2
15541A0237,RT4102M,ELECTRICAL SIMULATION LAB,22,46,2
15541A0237,RT4102N,POWER SYSTEMS LAB,23,44,2
15541A0239,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,25,43,3
15541A0239,RT41022,HVAC AND DC TRANSMISSION,29,37,3
15541A0239,RT41023,POWER SYSTEM OPERATION AND CONTROL,26,28,3
15541A0239,RT41025,INSTRUMENTATION,21,27,3
15541A0239,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,44,3
