15541A0206,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
15541A0207,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,41,3
15541A0207,RT32022,SWITCHGEAR AND PROTECTION,23,47,3
15541A0207,RT32023,UTILIZATION OF ELECTRICAL ENERGY,25,39,3
15541A0207,RT32024,POWER SYSTEM ANALYSIS,29,26,3
15541A0207,RT32025,MANAGEMENT SCIENCE,23,52,3
15541A0207,RT32026,POWER SEMICONDUCTOR DRIVES,24,43,3
15541A0207,RT32027,POWER ELECTRONICS LAB,23,47,2
15541A0207,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
15541A0208,RT32021,MICROPROCESSORS & MICROCONTROLLERS,21,28,3
15541A0208,RT32022,SWITCHGEAR AND PROTECTION,20,42,3
15541A0208,RT32023,UTILIZATION OF ELECTRICAL ENERGY,20,42,3
15541A0208,RT32024,POWER SYSTEM ANALYSIS,21,12,0
15541A0208,RT32025,MANAGEMENT SCIENCE,21,42,3
15541A0208,RT32026,POWER SEMICONDUCTOR DRIVES,20,12,0
15541A0208,RT32027,POWER ELECTRONICS LAB,22,46,2
15541A0208,RT32028,ELECTRICAL MEASUREMENTS LAB,24,44,2
15541A0209,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,33,3
15541A0209,RT32022,SWITCHGEAR AND PROTECTION,22,32,3
15541A0209,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,50,3
15541A0209,RT32024,POWER SYSTEM ANALYSIS,28,9,0
15541A0209,RT32025,MANAGEMENT SCIENCE,25,60,3
15541A0209,RT32026,POWER SEMICONDUCTOR DRIVES,26,32,3
15541A0209,RT32027,POWER ELECTRONICS LAB,23,46,2
15541A0209,RT32028,ELECTRICAL MEASUREMENTS LAB,25,46,2
15541A0210,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,8,0
15541A0210,RT32022,SWITCHGEAR AND PROTECTION,19,7,0
15541A0210,RT32023,UTILIZATION OF ELECTRICAL ENERGY,21,28,3
15541A0210,RT32024,POWER SYSTEM ANALYSIS,21,25,3
15541A0210,RT32025,MANAGEMENT SCIENCE,25,58,3
15541A0210,RT32026,POWER SEMICONDUCTOR DRIVES,26,37,3
15541A0210,RT32027,POWER ELECTRONICS LAB,23,45,2
15541A0210,RT32028,ELECTRICAL MEASUREMENTS LAB,25,48,2
15541A0211,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,41,3
15541A0211,RT32022,SWITCHGEAR AND PROTECTION,25,31,3
15541A0211,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,34,3
15541A0211,RT32024,POWER SYSTEM ANALYSIS,28,28,3
15541A0211,RT32025,MANAGEMENT SCIENCE,24,50,3
15541A0211,RT32026,POWER SEMICONDUCTOR DRIVES,28,41,3
15541A0211,RT32027,POWER ELECTRONICS LAB,22,47,2
15541A0211,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
15541A0212,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,26,3
15541A0212,RT32022,SWITCHGEAR AND PROTECTION,23,49,3
15541A0212,RT32023,UTILIZATION OF ELECTRICAL ENERGY,22,47,3
15541A0212,RT32024,POWER SYSTEM ANALYSIS,26,28,3
15541A0212,RT32025,MANAGEMENT SCIENCE,24,45,3
15541A0212,RT32026,POWER SEMICONDUCTOR DRIVES,21,14,0
15541A0212,RT32027,POWER ELECTRONICS LAB,23,45,2
15541A0212,RT32028,ELECTRICAL MEASUREMENTS LAB,23,48,2
15541A0213,RT32021,MICROPROCESSORS & MICROCONTROLLERS,24,30,3
15541A0213,RT32022,SWITCHGEAR AND PROTECTION,25,38,3
15541A0213,RT32023,UTILIZATION OF ELECTRICAL ENERGY,27,43,3
15541A0213,RT32024,POWER SYSTEM ANALYSIS,28,15,0
15541A0213,RT32025,MANAGEMENT SCIENCE,27,43,3
15541A0213,RT32026,POWER SEMICONDUCTOR DRIVES,28,32,3
15541A0213,RT32027,POWER ELECTRONICS LAB,24,49,2
15541A0213,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
15541A0214,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,35,3
15541A0214,RT32022,SWITCHGEAR AND PROTECTION,22,24,3
15541A0214,RT32023,UTILIZATION OF ELECTRICAL ENERGY,25,38,3
15541A0214,RT32024,POWER SYSTEM ANALYSIS,28,27,3
15541A0214,RT32025,MANAGEMENT SCIENCE,26,56,3
15541A0214,RT32026,POWER SEMICONDUCTOR DRIVES,22,32,3
15541A0214,RT32027,POWER ELECTRONICS LAB,25,49,2
