14541A0224,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,48,3
14541A0224,RT32024,POWER SYSTEM ANALYSIS,26,37,3
14541A0224,RT32025,MANAGEMENT SCIENCE,27,58,3
14541A0224,RT32026,POWER SEMICONDUCTOR DRIVES,24,34,3
14541A0224,RT32027,POWER ELECTRONICS LAB,25,47,2
14541A0224,RT32028,ELECTRICAL MEASUREMENTS LAB,22,46,2
14541A0226,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,6,0
14541A0226,RT32022,SWITCHGEAR AND PROTECTION,21,15,0
14541A0226,RT32023,UTILIZATION OF ELECTRICAL ENERGY,16,2,0
14541A0226,RT32024,POWER SYSTEM ANALYSIS,24,12,0
14541A0226,RT32025,MANAGEMENT SCIENCE,20,37,3
14541A0226,RT32026,POWER SEMICONDUCTOR DRIVES,23,24,3
14541A0226,RT32027,POWER ELECTRONICS LAB,24,42,2
14541A0226,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2
14541A0229,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,46,3
14541A0229,RT32022,SWITCHGEAR AND PROTECTION,25,24,3
14541A0229,RT32023,UTILIZATION OF ELECTRICAL ENERGY,26,44,3
14541A0229,RT32024,POWER SYSTEM ANALYSIS,30,64,3
14541A0229,RT32025,MANAGEMENT SCIENCE,28,59,3
14541A0229,RT32026,POWER SEMICONDUCTOR DRIVES,23,32,3
14541A0229,RT32027,POWER ELECTRONICS LAB,25,48,2
14541A0229,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2
14541A0231,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,30,3
14541A0231,RT32022,SWITCHGEAR AND PROTECTION,23,50,3
14541A0231,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,63,3
14541A0231,RT32024,POWER SYSTEM ANALYSIS,29,47,3
14541A0231,RT32025,MANAGEMENT SCIENCE,28,35,3
14541A0231,RT32026,POWER SEMICONDUCTOR DRIVES,22,44,3
14541A0231,RT32027,POWER ELECTRONICS LAB,24,48,2
14541A0231,RT32028,ELECTRICAL MEASUREMENTS LAB,23,49,2
14541A0232,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,50,3
14541A0232,RT32022,SWITCHGEAR AND PROTECTION,25,41,3
14541A0232,RT32023,UTILIZATION OF ELECTRICAL ENERGY,29,52,3
14541A0232,RT32024,POWER SYSTEM ANALYSIS,30,59,3
14541A0232,RT32025,MANAGEMENT SCIENCE,23,64,3
14541A0232,RT32026,POWER SEMICONDUCTOR DRIVES,23,34,3
14541A0232,RT32027,POWER ELECTRONICS LAB,25,49,2
14541A0232,RT32028,ELECTRICAL MEASUREMENTS LAB,25,50,2
14541A0234,RT32021,MICROPROCESSORS & MICROCONTROLLERS,28,49,3
14541A0234,RT32022,SWITCHGEAR AND PROTECTION,28,39,3
14541A0234,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,29,3
14541A0234,RT32024,POWER SYSTEM ANALYSIS,30,59,3
14541A0234,RT32025,MANAGEMENT SCIENCE,28,49,3
14541A0234,RT32026,POWER SEMICONDUCTOR DRIVES,29,33,3
14541A0234,RT32027,POWER ELECTRONICS LAB,25,49,2
14541A0234,RT32028,ELECTRICAL MEASUREMENTS LAB,25,50,2
14541A0235,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,44,3
14541A0235,RT32022,SWITCHGEAR AND PROTECTION,22,36,3
14541A0235,RT32023,UTILIZATION OF ELECTRICAL ENERGY,30,34,3
14541A0235,RT32024,POWER SYSTEM ANALYSIS,27,50,3
14541A0235,RT32025,MANAGEMENT SCIENCE,24,55,3
14541A0235,RT32026,POWER SEMICONDUCTOR DRIVES,24,25,3
14541A0235,RT32027,POWER ELECTRONICS LAB,23,46,2
14541A0235,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2
14541A0236,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,24,3
14541A0236,RT32022,SWITCHGEAR AND PROTECTION,24,34,3
14541A0236,RT32023,UTILIZATION OF ELECTRICAL ENERGY,22,62,3
14541A0236,RT32024,POWER SYSTEM ANALYSIS,29,50,3
14541A0236,RT32025,MANAGEMENT SCIENCE,24,46,3
14541A0236,RT32026,POWER SEMICONDUCTOR DRIVES,18,46,3
14541A0236,RT32027,POWER ELECTRONICS LAB,24,48,2
14541A0236,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2
14541A0237,RT32021,MICROPROCESSORS & MICROCONTROLLERS,20,41,3
14541A0237,RT32022,SWITCHGEAR AND PROTECTION,20,30,3
14541A0237,RT32023,UTILIZATION OF ELECTRICAL ENERGY,22,53,3
14541A0237,RT32024,POWER SYSTEM ANALYSIS,23,24,3
14541A0237,RT32025,MANAGEMENT SCIENCE,22,54,3
14541A0237,RT32026,POWER SEMICONDUCTOR DRIVES,17,34,3
14541A0237,RT32027,POWER ELECTRONICS LAB,24,48,2
14541A0237,RT32028,ELECTRICAL MEASUREMENTS LAB,23,47,2
14541A0238,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,29,3
14541A0238,RT32022,SWITCHGEAR AND PROTECTION,21,31,3
14541A0238,RT32023,UTILIZATION OF ELECTRICAL ENERGY,26,24,3
14541A0238,RT32024,POWER SYSTEM ANALYSIS,29,49,3
14541A0238,RT32025,MANAGEMENT SCIENCE,24,44,3
14541A0238,RT32026,POWER SEMICONDUCTOR DRIVES,24,18,0
14541A0238,RT32027,POWER ELECTRONICS LAB,24,47,2
14541A0238,RT32028,ELECTRICAL MEASUREMENTS LAB,23,43,2
14541A0239,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,61,3
14541A0239,RT32022,SWITCHGEAR AND PROTECTION,25,39,3
14541A0239,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,41,3
14541A0239,RT32024,POWER SYSTEM ANALYSIS,29,62,3
14541A0239,RT32025,MANAGEMENT SCIENCE,27,59,3
14541A0239,RT32026,POWER SEMICONDUCTOR DRIVES,28,27,3
14541A0239,RT32027,POWER ELECTRONICS LAB,25,48,2
14541A0239,RT32028,ELECTRICAL MEASUREMENTS LAB,23,49,2
14541A0240,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,24,3
14541A0240,RT32022,SWITCHGEAR AND PROTECTION,19,38,3
14541A0240,RT32023,UTILIZATION OF ELECTRICAL ENERGY,21,61,3
14541A0240,RT32024,POWER SYSTEM ANALYSIS,29,39,3
14541A0240,RT32025,MANAGEMENT SCIENCE,25,34,3
14541A0240,RT32026,POWER SEMICONDUCTOR DRIVES,21,39,3
14541A0240,RT32027,POWER ELECTRONICS LAB,23,46,2
14541A0240,RT32028,ELECTRICAL MEASUREMENTS LAB,23,45,2
14541A0301,RT32031,OPERATIONS RESEARCH,28,27,3
14541A0301,RT32032,INTERACTIVE COMPUTER GRAPHICS,19,24,3
14541A0301,RT32033,DESIGN OF MACHINE MEMBERS  II,28,28,3
14541A0301,RT32034,ROBOTICS,27,41,3
14541A0301,RT32035,HEAT TRANSFER,26,49,3
14541A0301,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,25,60,3
14541A0301,RT32037A,REFRIGERATION & AIR CONDITIONING,24,58,3
14541A0301,RT32038,HEAT TRANSFER LAB,24,49,2
14541A0303,RT32031,OPERATIONS RESEARCH,27,44,3
14541A0303,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,32,3
14541A0303,RT32033,DESIGN OF MACHINE MEMBERS  II,24,32,3
14541A0303,RT32034,ROBOTICS,26,29,3
14541A0303,RT32035,HEAT TRANSFER,25,36,3
14541A0303,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,24,9,0
14541A0303,RT32037A,REFRIGERATION & AIR CONDITIONING,24,6,0
14541A0303,RT32038,HEAT TRANSFER LAB,22,46,2
14541A0304,RT32031,OPERATIONS RESEARCH,24,31,3
14541A0304,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,25,3
14541A0304,RT32033,DESIGN OF MACHINE MEMBERS  II,24,44,3
14541A0304,RT32034,ROBOTICS,24,36,3
