95748,12541A0201,R42025,NON CONVENTIONAL SOURCES OF ENERGY,24,50,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95749,12541A0201,R4202A,AI TECHNIQUES,25,45,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95750,12541A0201,R4202B,PROJECT,49,145,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95751,12541A0202,R42021,DIGITAL CONTROL SYSTEMS,24,38,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95752,12541A0202,R42024,SPECIAL ELECTRICAL MACHINES,16,32,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95753,12541A0202,R42025,NON CONVENTIONAL SOURCES OF ENERGY,24,30,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95754,12541A0202,R4202A,AI TECHNIQUES,23,20,0,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95755,12541A0202,R4202B,PROJECT,49,145,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95756,12541A0203,R42021,DIGITAL CONTROL SYSTEMS,22,12,0,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95757,12541A0203,R42024,SPECIAL ELECTRICAL MACHINES,22,39,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95758,12541A0203,R42025,NON CONVENTIONAL SOURCES OF ENERGY,22,46,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95759,12541A0203,R4202A,AI TECHNIQUES,23,32,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95760,12541A0203,R4202B,PROJECT,50,148,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95761,12541A0204,R42021,DIGITAL CONTROL SYSTEMS,22,51,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95762,12541A0204,R42024,SPECIAL ELECTRICAL MACHINES,12,48,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95763,12541A0204,R42025,NON CONVENTIONAL SOURCES OF ENERGY,17,3,0,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95764,12541A0204,R4202A,AI TECHNIQUES,20,32,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95765,12541A0204,R4202B,PROJECT,45,138,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95766,12541A0205,R42021,DIGITAL CONTROL SYSTEMS,25,8,0,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95767,12541A0205,R42024,SPECIAL ELECTRICAL MACHINES,17,43,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95768,12541A0205,R42025,NON CONVENTIONAL SOURCES OF ENERGY,21,49,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95769,12541A0205,R4202A,AI TECHNIQUES,23,41,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
