74184,14541A0221,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74185,14541A0222,RT32021,MICROPROCESSORS & MICROCONTROLLERS,24,33,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74186,14541A0222,RT32022,SWITCHGEAR AND PROTECTION,18,1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74187,14541A0222,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,34,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74188,14541A0222,RT32024,POWER SYSTEM ANALYSIS,27,32,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74189,14541A0222,RT32025,MANAGEMENT SCIENCE,25,51,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74190,14541A0222,RT32026,POWER SEMICONDUCTOR DRIVES,20,27,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74191,14541A0222,RT32027,POWER ELECTRONICS LAB,24,42,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74192,14541A0222,RT32028,ELECTRICAL MEASUREMENTS LAB,22,48,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74193,14541A0223,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,25,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74194,14541A0223,RT32022,SWITCHGEAR AND PROTECTION,21,28,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74195,14541A0223,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,53,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74196,14541A0223,RT32024,POWER SYSTEM ANALYSIS,28,36,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74197,14541A0223,RT32025,MANAGEMENT SCIENCE,26,26,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74198,14541A0223,RT32026,POWER SEMICONDUCTOR DRIVES,21,35,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74199,14541A0223,RT32027,POWER ELECTRONICS LAB,23,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74200,14541A0223,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74201,14541A0224,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,41,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74202,14541A0224,RT32022,SWITCHGEAR AND PROTECTION,22,38,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74203,14541A0224,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,48,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74204,14541A0224,RT32024,POWER SYSTEM ANALYSIS,26,37,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74205,14541A0224,RT32025,MANAGEMENT SCIENCE,27,58,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
